go:0000001 | distribution_of | mitochondria
mitochondria | mediated_by | cytoskeleton
mitochondria | distribution_of | mitochondrial_genome
mitochondria | distribution_of | daughter_cells
mitochondria | distribution_of | meiosis
mitochondria | distribution_of | mitosis
go:0000006 | enables | transfer_of_zinc_ions
transfer_of_zinc_ions | powered_by | proton_motive_force
high-affinity_transport | involves | binding_solute
go:0000007 | powered_by | proton_motive_force
low-affinity_transport | binds | solute
go:0000007 | enables | transfer_of_solute_or_solutes_across_membrane
zn2+ | transferred_by | go:0000007
solute | present_at | high_concentrations
go:0000009 | catalysis_of | transfer_of_a_mannose_residue_to_an_oligosaccharide
go:0000010 | has_reactant | isopentenyl_diphosphate
go:0000010 | has_product | diphosphate
go:0000010 | has_product | all-trans-heptaprenyl_diphosphate
go:0000010 | has_reactant | (2E,6E)-farnesyl_diphosphate
go:0000011 | mediated_by | interactions_between_vacuoles_and_the_cytoskeleton
vacuoles | distributed_into | daughter_cells
mitosis_or_meiosis | produces | daughter_cells
vacuoles | interacts_with | cytoskeleton
repair_of_single_strand_breaks_in_dna | mediated_by | enzyme_systems
go:0000012 | is_definition_of | repair_of_single_strand_breaks_in_dna
enzyme_systems | used_in | base_excision_repair
hydrolysis | occurs_within | single-stranded_deoxyribonucleic_acid_molecule
hydrolysis | creates | internal_breaks
go:0000014 | involves | ester_linkages
go:0000014 | catalysis_of | hydrolysis
go:0000015 | has_reactant | 2-phospho-d-glycerate
go:0000015 | is_a | multimeric_enzyme_complex
go:0000015 | has_product | phosphoenolpyruvate
go:0000015 | produces | water
go:0000016 | has_reactant | h2o
go:0000016 | has_reactant | lactose
go:0000016 | has_product | d-glucose
go:0000016 | has_product | d-galactose
directed_movement_of_alpha-glucosides | mediated_by | pore
directed_movement_of_alpha-glucosides | occurs_in | cell
go:0000017 | involved_in | directed_movement_of_alpha-glucosides
alpha-glucosides | are | glycosides
alpha-glucosides | have_anomeric_carbon_configuration | alpha_configuration
directed_movement_of_alpha-glucosides | occurs_in | between_cells
alpha-glucosides | contain | glucose_residue
directed_movement_of_alpha-glucosides | mediated_by | transporter
go:0000018 | modulates | dna_recombination
dna_recombination | is_a | dna_metabolic_process
gene_combinations | different_from | parental_gene_combinations
dna_recombination | results_in | gene_combinations
go:0000019 | modulates | dna_recombination
dna_recombination | occurs_during | mitosis
mitotic_spindle_elongation | increases_distance_between | poles_of_the_mitotic_spindle
mitotic_spindle_elongation | occurs_during | mitotic_prophase
mitotic_spindle_elongation | ends_during | mitotic_anaphase_b
mitotic_spindle_elongation | part_of | cell_cycle_process
go:0000022 | part_of | cell_cycle_process
maltose | is_a | disaccharide
go:0000023 | involves_chemical_reactions_and_pathways | maltose
maltose | intermediate_in | catabolism_of_glycogen_and_starch
maltose | is_a | 4-o-alpha-d-glucopyranosyl-d-glucopyranose
maltose | is_a | disaccharide
maltose | is_a | 4-o-alpha-d-glucopyranosyl-d-glucopyranose
go:0000024 | results_in_formation_of | maltose
glucopyranose | is_part_of | 4-o-alpha-d-glucopyranosyl-d-glucopyranose
maltose | is_a | disaccharide
maltose | chemical_formula | 4-o-alpha-d-glucopyranosyl-d-glucopyranose
go:0000025 | results_in_breakdown_of | maltose
go:0000026 | catalysis_of | transfer_of_mannose_residue_to_oligosaccharide
go:0000026 | has_product | alpha-(1->2)-linked_oligosaccharide
go:0000027 | forms | large_ribosomal_subunit
rna | part_of | large_ribosomal_subunit
constituent_rnas_and_proteins | forms | large_ribosomal_subunit
constituent_rnas | part_of | small_ribosomal_subunit
small_ribosomal_subunit | formed_by | aggregation_arrangement_and_bonding_together_of_constituent_rnas_and_proteins
go:0000028 | definition | aggregation_arrangement_and_bonding_together_of_constituent_rnas_and_proteins_to_form_the_small_ribosomal_subunit
proteins | part_of | small_ribosomal_subunit
catalysis | involves | transfer_of_a_mannosyl_group
acceptor_molecule | typically | carbohydrate
go:0000030 | catalysis_of | transfer_of_a_mannosyl_group
transfer_of_a_mannosyl_group | to | acceptor_molecule
acceptor_molecule | typically | lipid
go:0000031 | has_product | alpha-d-man-(1->3)-alpha-d-man-(1->3)-[alpha-d-man-6p-]-alpha-d-man-(1->2)-alpha-d-man-(1->2)-alpha-d-man-3-o-(ser/thr)-[protein]
go:0000031 | has_reactant | gdp-alpha-d-mannose
go:0000031 | has_product | phosphorylated_alpha-d-man-(1->2)-alpha-d-man-(1->2)-alpha-d-man-(1->6)}60-(man9glcnac2-[protein]
go:0000031 | has_product | gmp
go:0000031 | has_reactant | alpha-d-man-(1->3)-alpha-d-man-(1->3)-alpha-d-man-(1->2)-alpha-d-man-(1->2)-alpha-d-man-3-o-(ser/thr)-[protein]
go:0000031 | has_product | h+
cell_wall_mannoproteins | is_a | cell_wall_protein
cell_wall_protein | contains | mannose_residues
mannose_residues | is_covalently_bound_to | cell_wall_protein
go:0000032 | definition | cell_wall_mannoproteins
go:0000033 | catalysis_of | transfer_of_a_mannose_residue_to_an_oligosaccharide
go:0000034 | has_product | hypoxanthine
go:0000034 | has_reactant | adenine
go:0000034 | has_reactant | h2o
go:0000034 | has_reactant | h+
go:0000034 | has_product | nh4+
acyl_group | derived_from | carboxylic_acid
go:0000035 | definition | binding_to_an_acyl_group
